Episode_Reward,Episode_Return,Success
-267.04574785530485,-117.54301506319769,0
-59.69729933654882,-17.723924716868265,0
-64.71231612349855,-31.080356355639108,0
-117.3073872128567,-49.863191692006374,0
-156.90036020228797,-49.445991871359155,0
-99.31193069157027,-43.2280521450366,0
-64.07177491165855,-20.73976605041176,0
18.7392106742208,20.059336285593496,0
-52.58074999711056,-4.060129792238449,0
-44.80242209251041,-7.160870387653397,0
-186.2268011505297,-21.26946944904416,0
-224.1798445667194,-101.69865519308418,0
-88.6025376370196,-28.59361389767779,0
-80.86243965158494,-33.33953690484948,0
-65.82498769277771,-22.889444870174923,0
-83.08982154297117,-23.505671045853042,0
-117.81181291716207,-60.043756394796226,0
-104.89882306661276,-34.90477323144621,0
-114.60582904695809,-39.24240405900387,0
-90.27858060324584,-43.49703272472767,0
-79.89608342963608,-20.124095012644318,0
19.092425930636267,19.937580299814346,0
-92.49854716382735,6.774052923437962,0
-85.1423523100311,-24.620324668022974,0
-29.76563625337812,-14.324320741394574,0
-82.98595766049435,-29.171415051699004,0
-32.68915568909641,-27.49825659407407,0
-34.10489741911016,-7.29124963852459,0
40.27942657481057,20.9565594519534,0
-0.5596322571300902,7.524036814717332,0
-4.7623627339606855,10.102759292096467,0
-41.28389141208959,-19.8833881930459,0
-44.273368528198944,-13.995613444318003,0
-211.7609685382859,-34.64298261631608,0
-85.04759792383523,-12.682284963684255,0
-38.60362423413879,-14.672891761427811,0
-4.05591171421014,-0.6349638619444096,0
-221.80361828692867,-38.213856179318775,0
-34.96767243920873,-8.145712505919736,0
-61.38075130603906,-9.627307304086788,0
-61.28655662735997,-13.046745845333037,0
-158.90518483601275,-63.38678471904751,0
-10.081589275179638,34.694266400279524,0
-97.13815538571407,-30.15742316713216,0
-30.45012988110406,3.6957992829429194,0
-287.4111871638669,33.51433622173947,0
-32.31867438181803,15.040230536182058,0
-51.78033558982598,3.9678716152152456,0
-10.419893729654547,0.8392693021068527,0
29.111546774827787,36.9343864762227,0
39.34795157384431,17.56169815163616,0
-19.989509261248443,0.5354934538118903,0
31.70527185708258,5.659386104299614,0
-170.39495672913978,-43.79258105628486,0
17.52843448600322,10.61612383643583,0
-82.54542696671085,-4.524015584011303,0
1.6212947181984134,11.540511039481748,0
-70.94520562337107,-2.272103300219511,0
-19.124819043342143,-2.6607816674435654,0
-66.17225455430314,-10.543642543956418,0
-55.59612884520891,3.098362513655279,0
-196.19307724255475,-5.255508471603597,0
-47.310656477421674,-1.4160310641462377,0
-29.933722589454362,4.658675045736573,0
-27.359619618408544,5.097692788738678,0
-60.974129116990824,-14.618716700127491,0
-98.13821844319236,-61.04851951927424,0
-51.87528668709549,-8.610521208608867,0
-369.4465434651771,-88.07362722701201,0
-161.06764020526825,-23.073931903351806,0
-13.64024524343867,4.3787878986010496,0
-81.29964346374791,-13.75355416759002,0
-32.821654718589855,-9.224104695752636,0
-149.9619560222375,32.07967326157175,0
-237.79458426036152,61.01334111984187,0
-26.338078551999672,-1.3273860228895833,0
-3.5416053806967938,9.394452151881037,0
-253.7851947394644,-55.255139721150755,0
-1.6539618845345245,1.4595173394955436,0
-40.980047509815634,31.536367496793005,0
-30.044521374817833,-12.993200513614159,0
12.76379005074574,5.482766036169637,0
-2.098310124183513,14.577007487483614,0
8.272140249901184,12.520042301733653,0
10.077970185907102,38.64260113414878,0
-11.78273885515442,4.2299577603216605,0
12.161052335419612,7.972500227715724,0
-33.51588556372076,-1.230843717264311,0
-197.83253292759684,-73.38882907318036,0
-30.68472679137004,4.266446092401196,0
-53.60824284462325,13.928679036803707,0
-13.869377847208964,7.4365538921727765,0
33.49728278658253,40.45568669988244,0
